model,subset,n_features,accuracy,f1,precision,recall
lr,rfe-subset,8,0.6467710371819961,0.18510158013544017,0.10432569974554708,0.82
lr,full,10,0.6477495107632094,0.18552036199095023,0.10459183673469388,0.82
rf,rfe-subset,8,0.9275929549902152,0.0975609756097561,0.125,0.08
rf,full,10,0.923679060665362,0.13333333333333333,0.15,0.12
svm,rfe-subset,8,0.8551859099804305,0.2127659574468085,0.14492753623188406,0.4
svm,full,10,0.8943248532289628,0.03571428571428571,0.03225806451612903,0.04
xgb,rfe-subset,8,0.7504892367906066,0.23880597014925373,0.14035087719298245,0.8
xgb,full,10,0.4931506849315068,0.12794612794612795,0.06985294117647059,0.76
