feature,importance,rank
age,0.49772678031284073,1
avg_glucose_level,0.19573322804775917,2
bmi,0.19502341501028433,3
smoking_status,0.03461058828134924,4
work_type,0.02146291018976974,5
Residence_type,0.0171590723417418,6
ever_married,0.012795441306364076,7
gender,0.009996803644685592,8
heart_disease,0.008636659993960131,9
hypertension,0.006855100871244911,10
